facname,addressnum,streetname,address,boro,zipcode,datasource,uid,grc,message
COMMUNITY LIFE CENTER 2,,15 MT,15 MT MORRIS PK,,,acs_daycareheadstart,9a68550b09248bb6101db07d0bf200fe,EE,'15 MT' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.
EPISCOPAL HS - PAULS HOUSE,500,BERGEN STREET,500 BERGEN STREET,,,acs_daycareheadstart,43c417c59339fcbc88ce6adcca65c7f9,EE,'BERGEN ST' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.
HAMILTON MADISON HOUSE #4,77,MARKET,77 MARKET,,,acs_daycareheadstart,1baed41e65177ad7ea085ae2c8cf6654,EE,'MARKET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
MORNINGSIDE DAY CARE CTR,2967,FREDRICK DOUGLASS,2967 FREDRICK DOUGLASS,,,acs_daycareheadstart,d3e869fe82431b47e1a250a0826c391f,EE,'FREDRICK DOUGLASS' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
NEPTUNE AVENUE HEAD START,293,NEPTUNE,293 NEPTUNE,,,acs_daycareheadstart,1356f503598a6f79ee7b9767be787250,EE,'NEPTUNE' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.
ROCHDALE VILLAGE KDG III,,AVENUE BSMT,170-10 130TH AVENUE. BSMT,,,acs_daycareheadstart,cfa55be34bd4132d7b92d210d8484e25,EE,'AVENUE BSMT' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
SOUTH JAMAICA CENTER 1,,,114-02 GUY R. BREWER,,,acs_daycareheadstart,7495497783d41de42bb1f577332f4ac2,16,STREET NAME IS MISSING
SUNSET BAY COMMUNITY SER. INC,199,14 TH STREET,199 14 TH STREET,,,acs_daycareheadstart,fd0673aabe8fb5d21945715e6eb63768,EE,'14 TH STREET' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.
YWCA - BROWNSVILLE ELC,1592,EAST NEW YORK,1592 EAST NEW YORK,,,acs_daycareheadstart,bf96a54854204203ab45109a2e2c6e36,EE,'EAST NEW YORK' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.
,,,,,,acs_daycareheadstart,4fa162e868e1c23b33568e4743cca49c,98,NO INPUT DATA RECEIVED
"CASINO AUTO BODY, INC",354,BEACH 72 STREET,354 BEACH 72 STREET,,11692,dca_operatingbusinesses,aaffb5c28e09867ecc0585d87ef428fc,00,
EASTERN TOWING & RECOVERY INC.,38,SOUTH MACQUESTEN PARKWAY,38 SOUTH MACQUESTEN PARKWAY,,,dca_operatingbusinesses,3023a23123d2cdb522c1c5a2afc6e1e2,11,'S MACQUESTEN PKWY' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
JFK AP LLC,1,JFK INTL AIRPORT BOULEVARD,1 JFK INTL AIRPORT BOULEVARD,,,dca_operatingbusinesses,db3816fa901a53eb08a69b703264eac2,EE,'JFK INTL AIRPORT BLVD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
SP PLUS CORPORATION,95,OCEANA DRIVE EAST,95 OCEANA DRIVE EAST,,,dca_operatingbusinesses,c912dce04be4fed6c783d543110f35e6,42,ADDRESS NUMBER OUT OF RANGE
"4HEADS, INC.",1022,PACIFIC STREET,1022 PACIFIC ST,,,dcla_culturalinstitutions,863450bfa44dcd0d1a1356e80a5689e8,EE,'PACIFIC ST' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.
AACCAPELLA LIGHT SOUND ORGANIZATION PLUS,851A,PROSPECT AVENUE,851A PROSPECT AVENUE,,,dcla_culturalinstitutions,64eb56606fb3491c6e4122ea67e8af69,42,ADDRESS NUMBER OUT OF RANGE
"ACADEMY OF BOSNIA AND HERZEGOVINA, INC.",55-23,31 AVENUE,55-23 31ST AVENUE,,,dcla_culturalinstitutions,2bf8f622f81edf525bbf4eb424934151,EE,'31ST AVENUE' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
"ALARM WILL SOUND, INC.",51,WOOSTER STREET,51 WOOSTER STREET,,,dcla_culturalinstitutions,e9e5b0c58c5e75286c1a65e353280958,EE,'WOOSTER STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"ALVIN AILEY DANCE FOUNDATION, INC.",,,THE JOAN WEILL CENTER FOR DANCE,,,dcla_culturalinstitutions,26e71e291711c2c94724a49fb8479d3f,16,STREET NAME IS MISSING
AMERICA SCORES NEW YORK,,,AMERICA SCORES NEW YORK,,,dcla_culturalinstitutions,f72c51799b874ba91cd67a3b80670e8e,16,STREET NAME IS MISSING
AMERICAN LATIN ASSOCIATION OF NEW YORK,14,WEST 170 STREET,14 WEST 170TH ST,,,dcla_culturalinstitutions,849818012a5e0a3024429887f2399b95,11,'WEST 170TH ST' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
AMERICAN MUSEUM OF NATURAL HISTORY,,PARK WEST AND 79 STREET,CENTRAL PARK WEST AND 79TH STREET,,,dcla_culturalinstitutions,a5ff3bb4f17a348d90e1bc8af129c726,EE,'PARK WEST AND 79TH STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
AMERICAN NUMISMATIC SOCIETY,,WEST 155 STREET,BROADWAY 155TH STREET,,,dcla_culturalinstitutions,47fa52db3280a614f2126d7276b1046c,13,ADDRESS NBR BROADWAY  HAS AN UNKNOWN OR INVALID SUFFIX/ENDING.
"ANNE FRANK CENTER USA, INC.",44,PARK PLACE 100 CHURCH STREET,44 PARK PLACE 100 CHURCH STREET,,,dcla_culturalinstitutions,e64146f1cd807aae05339be4396ac3f8,EE,'PARK PLACE 100 CHURCH STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"ART CREATES US, INC.",601,WEST 26 STREET,601 WEST 26TH ST,,,dcla_culturalinstitutions,28e4399dbad6d711b13ed7e7e2933488,11,'WEST 26TH ST' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"ART KIBBUTZ, INC.",500,WEST 235 STREET,500 W 235TH STREET,,,dcla_culturalinstitutions,d4194210ecb24710049b1c5a2397bacf,11,'W 235TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"ARTBRIDGE PROJECTS, INC.",601,WEST 26 H STREET,601 WEST 26H STREET,,,dcla_culturalinstitutions,9fbef7fddb34c8c5eae15a6a2cdf0bb7,EE,'WEST 26H STREET' NOT RECOGNIZED. IS IT 'WEST   26 STREET'?
"ARTEEAST, INC.",300,CADMAN PLAZA WEST,300 CADMAN PLAZA WEST,,,dcla_culturalinstitutions,cfc54f3f68bf0bcad55d3c403da2f4dc,EE,'CADMAN PLAZA WEST' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.
"ARTISTIC NOISE, INC.",315,FLATBUSH AVENUE,315 FLATBUSH AVE,,,dcla_culturalinstitutions,16402a70ad16f90db85ae060b455caf6,EE,'FLATBUSH AVE' NOT RECOGNIZED. IS IT 'FLAGS H S'?
ARTS INDONESIA,49,INDIA STREET,49 INDIA ST,,,dcla_culturalinstitutions,697fc97b7e1e7738cc71c6f1649495c9,EE,'INDIA ST' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"ASDT, INC. - THE AMERICAN SPANISH DANCE THEATRE",,,C/O LOTUS MUSIC AND DANCE,,,dcla_culturalinstitutions,6102aac572c49747aa6e3bc7d86a48ed,16,STREET NAME IS MISSING
"ASSOCIATION OF DOMINICAN CLASSICAL ARTISTS, INC.",699,EAST 137 STREET,699 EAST 137 STREET,,,dcla_culturalinstitutions,3b9ac22b7bc44b8e5a25a4f0c93aae39,41,THIS STREET HAS NO ADDRESSES
ASTORIA PERFORMING ARTS CENTER,,,KAUFMAN ASTORIA STUDIOS,,,dcla_culturalinstitutions,db442d55de2dc4de261a2d9f88888f30,16,STREET NAME IS MISSING
"AT HAND THEATRE COMPANY, INC.",214,WEST 122 STREET,214 WEST 122ND STREET,,,dcla_culturalinstitutions,4306d29e3803e6240f81dbe0c802ead3,11,'WEST 122ND STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
AZURE ENSEMBLE,,,C/O SUSAN GLASER STEINHARDT SCHOOL NYU,,,dcla_culturalinstitutions,389558c6ec9f3821f8c7bfb8a8e93d24,16,STREET NAME IS MISSING
"BAJA MUSICAL ARTS INITIATIVE, INC.",601,WEST 26 STREET,601 W 26TH ST,,,dcla_culturalinstitutions,65e3e95468acfa6d0bb5cb2283cd7fea,11,'W 26TH ST' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"BALLROOM BASIX USA, INC.",178,EAST 117 STREET,178 E 117TH ST,,,dcla_culturalinstitutions,a295cf1522b20485caaffb52c7d12187,11,'E 117TH ST' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
BAM LOCAL DEVELOPMENT CORPORATION,80,HANSEN PLACE,80 HANSEN PLACE,,,dcla_culturalinstitutions,d6ca964f7ebae7f85c480052b1fd6af4,EE,'HANSEN PLACE' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.
"BATTERED WOMEN'S SAFE TERRITORY -AN OPPORTUNITY TO PROGRESS, INC.",94,BENTWOOD DRIVE,94 BENTWOOD DRIVE,,,dcla_culturalinstitutions,3039a80c96bbdcb1def90c7e68788f0c,EE,'BENTWOOD DRIVE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
"BIG DANCE THEATER, INC.",303,CLINTON STREET,303 CLINTON STREET,,,dcla_culturalinstitutions,b684a40a9b2dface6738b4a2c21c62cf,42,ADDRESS NUMBER OUT OF RANGE
"BLACK MOON THEATRE COMPANY, INC.",104,GREENPOINT AVENUE,104 GREENPOINT AVENUE,,,dcla_culturalinstitutions,b49a060e13db470242c4cf294255d025,EE,'GREENPOINT AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,,,BOHEMIAN NATIONAL HALL,,,dcla_culturalinstitutions,fb7f80f3c1d38bbc2671ac117e8436f7,16,STREET NAME IS MISSING
BOUNDLESS THEATRE COMPANY INC.,41-21,42 STREET,41-21 42ND ST,,,dcla_culturalinstitutions,b79d236d05800961b17d1e982b96ab6b,EE,'42ND ST' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
"BOYS' CLUB OF NEW YORK, INC.",287,10 STREET,287 10TH STREET,,,dcla_culturalinstitutions,03ce09d8522de459abd5e808bd3ed9d1,EE,'10TH STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.
BRECHT FORUM,388,ATLANTIC AVENUE,388 ATLANTIC AVENUE,,,dcla_culturalinstitutions,9e28578b95dc7b2dd5499d64d8943b0a,11,'ATLANTIC AVENUE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"BRIDGING EDUCATION AND ART TOGETHER, INC.",44-02,23 STREET,44-02 23RD ST,,,dcla_culturalinstitutions,5b5e1de664949c541a05816001c876c2,11,'23RD ST' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
BRING TO LIGHT,200,EAST 10 STREET,200 EAST 10TH STREET,,,dcla_culturalinstitutions,cbfecff78cbf27324f79618ccbaceda1,42,ADDRESS NUMBER OUT OF RANGE
"BRONX SYMPHONY ORCHESTRA, INC.",,,C/O DENISE ORR,,,dcla_culturalinstitutions,641e4004ac8c75ed9a956bd86eadf18e,16,STREET NAME IS MISSING
"CATHOLIC CHARITIES COMMUNITY SERVICES, ARCHDIOCESE OF NEW YORK",1011,FIRST AVENUE,1011 FIRST AVENUE,,,dcla_culturalinstitutions,471aad861b8eb3f1efe44060575293c3,13,ADDRESS NBR HAS INVALID FORMAT FOR EDGEWATER PARK
CENTER FOR EDUCATIONAL INNOVATION-PUBLIC EDUCATION ASSOCIATION,28,WEST 44 STREET,28 WEST 44TH STREET,,,dcla_culturalinstitutions,726ab96a95e3d7216f5c3f69c27c712b,11,'WEST 44TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
CHAMBERS MEMORIAL BAPTIST CHURCH,219,EAST 123 ROAD STREET,219 EAST 123 RD STREET,,,dcla_culturalinstitutions,0cf1a650498eb759e984fbe697b4f4bb,EE,'EAST 123 RD STREET' NOT RECOGNIZED. IS IT 'EAST  123 STREET'?
CHANGE FOR KIDS INC,110,EAST 23 STREET,110 EAST 23RD STREET,,,dcla_culturalinstitutions,110e9070d41ff77396fcbbbe0b857560,11,'EAST 23RD STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
CHELSEA MUSIC FESTIVAL,,,C/O ROBERT S PERLSTEIN ESQ,,,dcla_culturalinstitutions,9ac44d93605be63c78567cb1fd9c4308,16,STREET NAME IS MISSING
CHILDREN'S ORCHESTRA SOCIETY,65-03,WEST 180 STREET,65-03 180TH STREET,,,dcla_culturalinstitutions,ae9240bc980d4b6f211b68dfb184746d,42,ADDRESS NUMBER OUT OF RANGE
"CHINESE MUSICAL ARTS, INC.",,,C/O XIAOSHAN WEN,,,dcla_culturalinstitutions,315560eb601732c9048fcecd69a6e3b3,16,STREET NAME IS MISSING
"CIVILIANS, INC.",138,SOUTH OXFORD STREET,138 S OXFORD STREET,,,dcla_culturalinstitutions,25d90163cb98f048ecb0a77c2a38d973,11,'S OXFORD STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
"CLASSICAL THEATRE OF HARLEM, INC.",,,C/O WEWORK HARLEM,,,dcla_culturalinstitutions,a166f713ce0493970930af9235e3d01a,16,STREET NAME IS MISSING
"COLLECTED OBJECTS, INC.",100,NEWEL STREET,100 NEWEL STREET,,,dcla_culturalinstitutions,efaee1966b501e34ca83b090dde6af0e,EE,'NEWEL STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.
COMPLEXIONS - A CONCEPT IN DANCE,,,C/O NMBC,,,dcla_culturalinstitutions,2a3ce1dcd0a2e3c5031ab84652c8be97,16,STREET NAME IS MISSING
CONSCIENTIOUS MUSICAL REVUES,2576,BROADWAY,2576 BROADWAY,,,dcla_culturalinstitutions,fe7ebec583e2effe0f8e0e5fe6a1eaf3,42,ADDRESS NUMBER OUT OF RANGE
"CORONA YOUTH MUSIC PROJECT, INC.",155,WEST 68 STREET,155 WEST 68TH STREET,,,dcla_culturalinstitutions,57a4a9e3a47e505b21fedbc9ecf3870f,11,'WEST 68TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES
CULTURAL MUSEUM OF AFRICAN ART - THE ERIC EDWARDS COLLECTION,213,TAAFFE PLACE-SUITE,213 TAAFFE PLACE-SUITE,,,dcla_culturalinstitutions,d7a9ae88b4bc715e08f4e5ce1d8259aa,EE,'TAAFFE PLACE-SUITE' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.
CURRAN EVENTS INC,21,FIRST AVENUE,21 FIRST AVENUE,,,dcla_culturalinstitutions,a7ae94bf7b0e0c83086653c5a6a23a9f,42,ADDRESS NUMBER OUT OF RANGE
