"Data Sources
Date downloaded is the date that City Planning downloaded the data, accessed it from a website, or received it from an agency.
Date of update is the date that the agency last updated the data, if that information is available.",,,,
DATASOURCE,Descriptive name,Date downloaded,Data of update,Link to data source
acs_daycareheadstart,NYC Administration for Children's Services - Child Care Head Start,11/15/19,10/26/18,Manual update from agency
bpl_libraries,Brooklyn Public Library Branches,11/15/19,3/8/19,https://data.cityofnewyork.us/Recreation/BPL-Branches/xmzf-uf2w
dca_operatingbusinesses,NYC Dept of Consumer Affairs - Legally Operating Businesses,11/15/19,11/8/19,https://data.cityofnewyork.us/Business/Legally-Operating-Businesses/w7w3-xahh
dcas_colp,NYC Dept of Administrative Services - City Owned and Leased Properties,11/15/19,10/25/18,Manual update from agency
dcla_culturalinstitutions,NYC Dept of Cultural Affairs - Cultural Organizations,11/15/19,4/17/19,https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32
dcp_pops,NYC Dept of City Planning - NYC Privately Owned Public Space Database,12/16/19,11/14/19,https://nycopendata.socrata.com/Housing-Development/Privately-Owned-Public-Spaces/fum3-ejky
dep_wwtc,NYC Dept of Environmental Protection - Wastewater Treatment Centers,11/15/19,,https://www1.nyc.gov/site/dep/water/wastewater-treatment-plants.page
dfta_contracts,NYC Dept for the Aging - All Contracted Providers,11/15/19,11/8/19,https://data.cityofnewyork.us/Social-Services/DFTA-Contracts/6j6t-3ixh
doe_busroutesgarages,NYC Department of Education - Bus Routes,11/15/19,11/1/19,https://data.cityofnewyork.us/Transportation/Routes/8yac-vygm
doe_lcgms,NYC Department of Education - School Information Report,11/15/19,4/26/19,https://data.cityofnewyork.us/Education/LCGMS-DOE-School-Information-Report/3bkj-34v2
doe_universalprek,NYC Department of Education - Universal Pre-K (UPK) School Locations,11/15/19,,https://maps.nyc.gov/prek/#map-page
dohmh_daycare,NYC Dept of Health and Mental Hygiene - Childcare Center Inspections,11/15/19,11/13/19,https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza
dot_bridgehouses,NYC Dept of Transportation - Bridge Houses,11/15/19,5/29/19,Manual update from agency
dot_ferryterminals,NYC Dept of Transportation - Ferry Terminals and Landings,11/15/19,5/29/19,Manual update from agency
dot_mannedfacilities,NYC Dept of Transportation - Manned Facilities,11/15/19,5/29/19,Manual update from agency
dot_pedplazas,NYC Dept of Transportation - Plaza Program,11/15/19,6/10/19,Manual update from agency
dot_publicparking,NYC Dept of Transportation - Municipal Parking Facilities,11/15/19,5/29/19,Manual update from agency
dpr_parksproperties,NYC - Dept of Parks and Recreation - Parks Properties,11/15/19,11/1/19,https://data.cityofnewyork.us/City-Government/Parks-Properties/k2ya-ucmv
dsny_mtsgaragemaintenance,NYC Dept of Sanitation - Facilities,11/15/19,5/15/19,Manual update from agency
dycd_afterschoolprograms,NYC Dept of Youth and Community Development - After-School Programs,11/15/19,9/16/17,https://data.cityofnewyork.us/Education/DYCD-after-school-programs/mbd7-jfnc
fbop_corrections,Federal Bureau of Prisons Facilities,11/15/19,,https://www.bop.gov/locations/list.jsp
fdny_firehouses,FDNY Firehouse Listing,11/15/19,9/16/17,https://data.cityofnewyork.us/Public-Safety/FDNY-Firehouse-Listing/hc8x-tcnd
foodbankny_foodbanks,FBNYC Food Pantry Soup Kitchen List 8-5-16,11/15/19,,http://www.foodbanknyc.org/get-help/
hhc_hospitals,Health and Hospitals Corporation (HHC) Facilities,11/15/19,9/8/17,https://data.cityofnewyork.us/Health/Health-and-Hospitals-Corporation-HHC-Facilities/f7b6-v6v3
hra_centers,HRA Center Locations,7/12/19,,https://www1.nyc.gov/site/hra/locations/locations.page
moeo_socialservicesiteloactions,MOEO Social service site locations,11/12/19,6/5/19,Manual update from agency
nycdoc_corrections,DOC Correction Facilities Locations,12/10/19,,https://www1.nyc.gov/site/doc/about/facilities-locations.page
nycha_communitycenters,New York City Housing Authority - Community Facilities,11/15/19,9/16/17,https://data.cityofnewyork.us/Social-Services/Directory-of-NYCHA-Community-Facilities/crns-fw6u
nycha_policeservice,New York City Housing Authority -  PSA (Police Service Areas),11/15/19,9/10/18,https://data.cityofnewyork.us/Housing-Development/NYCHA-PSA-Police-Service-Areas-/72wx-vdjr
nycourts_courts,NYS Unified Court System - NYC Criminal Courts,11/15/19,,http://www.nycourts.gov/courts/nyc/criminal/generalinfo.shtml#BRONX_COUNTY
nypl_libraries,New York Public Library - Branches,11/15/19,,https://www.nypl.org/locations/list
nysdec_lands,NYS Dept of Environmental Conservation - Lands and Campgrounds,11/15/19,4/1/18,http://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1114
nysdec_solidwaste,NYS Dept of Environmental Conservation - Solid Waste Management Facilities,11/15/19,1/23/19,https://data.ny.gov/Energy-Environment/Solid-Waste-Management-Facilities/2fni-raj8
nysdoccs_corrections,NYS Correctional Facilities,11/15/19,,http://www.doccs.ny.gov/faclist.html
nysdoh_healthfacilities,NYS Dept of Health - Health Facility General Information,11/15/19,11/3/19,https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r
nysdoh_nursinghomes,NYS Dept of Health - Nursing Home Weekly Bed Census: Last Submission,11/15/19,9/11/19,https://health.data.ny.gov/Health/Nursing-Home-Weekly-Bed-Census-Last-Submission/izta-vnpq
nysed_activeinstitutions,NYS Education Dept - Active institutions,7/12/19,,https://eservices.nysed.gov/sedreports/list?id=1
nysoasas_programs,NYS OASAS-Certified Chemical Dependence Treatment Programs Located in NYC,7/29/19,6/11/19,https://www.oasas.ny.gov/providerDirectory/index.cfm?search_type=2
nysomh_mentalhealth,NYS Office of Mental Health - Local Mental Health Programs,11/15/19,9/10/18,https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8
nysopwdd_providers,NYS Office for People with Developmental Disabilities: Service Provider Agencies,11/15/19,1/3/19,https://data.ny.gov/Human-Services/Directory-of-Developmental-Disabilities-Service-Pr/ieqx-cqyk
